"no","sun","ins","kal"
,"bungkem","bungkam",
,"bungkeuleukan","kelihatan wujudnya",
,"buni","tidak mudah terlihat/temukan",
,"buntel","bungkus dari kain",
,"buntet","besar tapi pendek",
,"buntut","ekor",
,"bura","nyemburkan air/makanan dari mulut",
,"burahay","bara",
,"burak","rusak dan acak-acakan",
,"burang","ranjau dari bambu runcing",
,"burayot","bergayut",
,"burayut",,
,"bureuteu","perut gendut/buncit",
,"burial","keluar dari tanah (mata air)",
,"burih","tembolok, lambung pengunyah",
,"buringas atau buringas ","beringas ",
,"burinyay","cahaya membersit",
,"burit","sore, senja",
,"buru, muru",,
,"buru-buru","cepat-cepat",
,"burudul","rontok",
,"buruh","upah, buruh",
,"buruk","busuk, rusak",
,"burulu","beberapa barang yang jatuh",
,"burung","batal, gila, tidak jadi",
,"buruy","berudu",
,"bus","masuk",
,"busik","kusut",
,"buta","raksasa",
,"butek","bodoh,bingung",
,"butik","melepas tempurung kelapa",
,"butut","rusak, robek dan kotor, jelek",
,"buuk","rambut",
,"buyar","bubar",
,"buyut","anaknya cucu",
,"byar atau bray",,
,"caah","banjir",
,"caah","banjir",
,"caang","terang",
,"caang","terang",
,"cabak","menyentuh",
,"cabak","menyentuh",
,"cabe","cabai",
,"cabok","menempeleng",
,"cabok","menempeleng",
,"cabut","mencabut",
,"cabut","mencabut",
,"cacad","cacat",
,"cacad","cacat",
,"cacah","rakyat biasa, hitungan",
,"cacak","walaupun",
,"cacak","walaupun",
,"cacampah","merendahkan derajat",
,"cacampah","merendahkan derajat",
,"cacap","habis, jujur",
,"cacap","habis, jujur",
,"cacar","penyakit cacar",
,"cacar","penyakit cacar",
,"cacarakan","abjad Sunda, ha,na,ca,ra,ka",
,"cacarakan","abjad Sunda, ha,na,ca,ra,ka",
,"cacarekan","nadar, kaul",
,"cacarekan","nadar, kaul",
,"cadel","pelat",
,"cadok","dagu yang menyodor kedepan",
,"cadu","tabu, pantang, tidak akan",
,"cadu","tabu, pantang, tidak akan",
,"cag","menyimpan, menunda",
,"cag","menyimpan, menunda",
,"cagak","cabang dua",
,"cagap","menyentuh, meraba",
,"cageur","sehat, sembuh",
,"cahara","kehormatan",
,"cahaya","cahaya",
,"caheum","mulut, rahang",
,"cahya","cahaya",
,"cai","air",
,"caian","berair",
,"cakah-cikih","bekerja sibuk sekali",
,"cakar","mencakar, tapak",
,"cakclak","menetes",
,"cakep","cakap",
,"caket","dekat",
,"cakeutreuk","hitam kotor",
,"cakueum","gelap menyeramkan",
,"calacah","abu rokok",
,"cala-culu","tidak tahu adat",
,"calakan","cerdas pintar",
,"calakatak","tertawa nikmat",
,"calana","celana",
,"calangap","membuka mulut",
,"calawak","menganga, membuka mulut",
,"caletot","tidak sengaja cerita rahasia",
,"caletre","agak kotor",
,"caleuhak",,
,"caleuy","lesu, tak bergairah",
,"calik","duduk",
,"calik","duduk",
,"calikong","korupsi",
,"calimba","berlinang air mata",
,"calimud","suka mencuri",
,"caluntang atau calutak ","tidak sopan ",
,"cambepem","tembem",
,"camberok","memakai bedak terlalu tebal",
,"camberut","cemberut",
,"cambewek","sangat dingit sekali",
,"cambling","berkata tidak karuan",
,"cambutrak","basah dan berbusa",
,"cameot","duduk menyendiri",
,"cameubleu","diam, tidak mengalir",
,"cameuh","bibir bawah menjulur ke depan",
,"camihmil","pipinya tembem",
,"campego","duduk seperti menunggu",
,"campelak","berani melawan orang tua",
,"campernik","kecil menarik",
,"campleng","genap, penuh(waktu)",
,"campoleh","tidak hati-hati",
,"campur","campur",
,"camuil","makan dengan lahap",
,"can","belum",
,"candak","bawa",
,"candeluk","duduk seperti ada yang ditunggu",
,"candet","menahan",
,"candung","punya istri dua (dimadu)",
,"canembrang","amat jernih",
,"caneom","agak gelap seram",
,"cangangang","menjawab dengan membentak",
,"cangcang","mengikat, menambatkan",
,"cangcaya","meragukan",
,"cangcut","cawat, celana dalam",
,"cangkang","kulit (buah, telur)",
,"cangkaruk","tersisa",
,"cangkem","mulut",
,"cangkeng","pinggang",
,"cangker","cekatan, lincah",
,"cangkeul","pegal",
,"cangkewok","tinggal ti tempat padat",
,"cangking","memegang",
,"cangkol","sangkut",
,"cangkolong","kurang",
,"cangogo","jongkok",
,"cangra","cerah, langit terang",
,"cangreud","ikatan, simpul",
,"cantel","kait, kaitan",
,"caos","memenuhi permintaan",
,"capa","raba",
,"capang","kata ucapan masyarakat",
