"no","sun","ins","kal"
,"koredas","isinya habis sama sekali",
,"koreh","mengais tanah, sampah",
,"korejat","bangun dengan cepat",
,"koreleng","cepat-cepat pulang lagi",
,"koret","kikir",
,"korong","kotoran hidung, upil",
,"koropok","keropos",
,"korowok","bolong, lubang",
,"korowot","melubangi barang diambil isinya",
,"koseh","duduk sambil mengerakkan kaki tak bisa berdiri",
,"kosewad","terpeleset",
,"kosod","slip, tak mau maju",
,"kosong","kosong",
,"kotak","kotak",
,"kotakan","kotakan",
,"koteap","sekejap",
,"kotektak","dicari disetiap tempat",
,"koteteng","keliling sekitar kampung mencari sesuatu",
,"kotok","ayam",
,"kotoplak","suara tapal kuda",
,"kotor","kotor",
,"kowowong","suara anjing besar/gonggongan",
,"koyondon","landung, kendur",
,"koyor","bermain air,berenang",
,"ku","kata depan: oleh",
,"kuah","nasi campur sayur",
,"kuat","tahan, kekar, mampu",
,"kubek","mengaduk agar airny keruh",
,"kubeng","berputar-putar/dikelilingi",
,"kubur","mengubur",
,"kudu","harus",
,"kukituna","oleh karena itu",
,"kulawarga","keluarga",
,"kulawargana","keluarganya",
,"kuleuheu","dekil, kotor belum dicuci",
,"kuli","kuli",
,"kuliah","segenap, seluruh",
,"kuliat","menggeliat",
,"kulibek","berputar di tempat terbatas",
,"kulimis","kelimis",
,"kulincer","jalan kesana kemari ada yang diincar",
,"kulinting","berjalan mengelilingi rumah",
,"kulisik","bergerak waktu tidur",
,"kulit","kulit",
,"kulitna","kulitnya",
,"kuliwed","cepat-cepat membelok/sembunyi",
,"kulon","barat",
,"kulub","rebus",
,"kulumud","kulit ari",
,"kuluntung","menggulung hingga seperti pipa",
,"kuluwung","pipa besar dari tanah, beton",
,"kuluwut","tidak ceria, muram durja",
,"kuluyur","keluyuran",
,"kum","mengandung arti semuanya",
,"kumacacang","selalu teringat",
,"kumaha","bagaimana",
,"kumaki","sok, angkuh",
,"kumalungkung","takabur",
,"kumapapang","menangis sambil ngomong",
,"kumargi","karena",
,"kumasep","seakan-akan tampan",
,"kumbah","cuci",
,"kumbuh","masyarakat",
,"kumed","kikir",
,"kumelip","hidup/masih ada",
,"kumis","kumis",
,"kumpeu","tampak lamban, tidak beringas",
,"kumpul","kumpul, rapat",
,"kunclung","jatuh ke dalam air",
,"kungkurah","membersihkan wadah dengan air panas",
,"kungsi","keburu, pernah, harus",
,"kuniang","bangun perlahan-lahan",
,"kunjal","mengangkuti",
,"kuno","kuno",
,"kuntung","puntung",
,"kunyem","komat-kamit",
,"kunyuk","monyet, kera",
,"kupat","ketupat",
,"kuping","dengar",
,"kuprak","menyuruh dengan cara kekerasan",
,"kurabu","anting",
,"kurang","kurang",
,"kuras","menguras",
,"kurat-karet","terlalu sedikit",
,"kuraweud","cemberut",
,"kuray","merinding bulu roma",
,"kureb","mengubur mayat",
,"kuren","sudah berkeluarga",
,"kuriak","melaksanakan pekerjaan berat dan biaya besar",
,"kuricakan","rakyat kecil",
,"kurihit","merajuk",
,"kuriling","keliling",
,"kuring","aku, saya",
,"kuru","kurus",
,"kurubuk","suara dari dalam perut (lapar)",
,"kurud","mencukur, mengurangi",
,"kuruduk","seradak-seruduk di tempat padat",
,"kurumuy","keluar dari persembunyian",
,"kurung","sangkar",
,"kurunyung","datangnya orang yang tidak diharapkan",
,"kurusuh","dibakar begitu saja karena tergesa-gesa",
,"kurutak","datang sudah terlambat",
,"kusek","mati/meninggal karena kecelakaan",
,"kusial","kusut",
,"kusut","berbelit-belit, kusut",
,"kutet","sulit benar",
,"kutiplak","pesuruh/pelayan paling bawah derajatnya",
,"kutruk","bersungut-sungut",
,"kuul","tidak punya kemauan",
,"kuwung-kuwung","pelangi",
,"kuya","kura-kura",
,"kuyumbang","menggenang",
,"kuyumut","kotor penuh debu",
,"kuyupuk","pohon yang cabangnya berjumbai sampai ketanah",
,"laan","melepaskan",
,"laas","hilang hasiatnya, baunya",
,"labrak","melabrak, mengusir",
,"labuh","jatuh",
,"labur","memulas dengan kapur",
,"lacak","bekas, tapak",
,"lada","pedas",
,"ladang","hasil menjual",
,"ladeg","sangat banyak",
,"laden","melayani",
,"ladut","tidak mempan, tumpul",
,"laer","jauh",
,"laga","berkelahi, aksi",
,"lagas","masih sendiri, lajang",
,"lageday","duduk bersandar di kursi malas",
,"lagedu","kotor berdebu",
,"lagi","selagi, sepanjang",
,"lagu","lagu, waktu",
,"laguna","lagunya",
,"lah","mengeluh",
,"laha-loho","melihat-lihat",
,"lahan","pekarangan, tanah kosong",
,"lahun","memangku",
,"lahuta","mengharap/melakukan",
,"lain","bukan",
,"laja","lengkuas",
,"lajeng","lalu",
,"laju","lalu, lanjut, terus",
,"lajur","kolom",
,"laki","alu, lelaki",
,"lakon","melakukan",
,"laksana","berhasil",
,"laku","tingkah, maksud",
,"lalajo","nonton",
,"lalaki","lelaki",
,"lalangse","tirai",
,"lalanyah","coba-coba dulu",
,"lalar","lewat",
,"lalawora","gegabah",
,"lalay","kelelawar",
,"laleur","lalat",
,"lali","lupa",
,"lalieur","pada pusing",
,"lalim","lalim",
,"lalis","yatim piatu",
,"laluasa","leluasa",
,"lalungse","pada lesu",
,"lamak","sisa kain, perca",
,"lambak","gelombang",
,"lamban","kain panjang wiron",
,"lambat","lama, berlanjut",
,"lambey","bibir",
,"lambokot","belepotan",
,"lambut","perut",
,"lameh","meminta maaf",
,"lami","lama",
,"lamot","menjilat makanan di tangan",
,"lampah","kelakuan",
,"lampar","suka pergi ke tempat jauh",
,"lampat","mendempul lubang kayu/tanggul",
,"lampias","habis sama sekali",
,"lamping","lereng",
,"lampit","tikar rotan",
,"lampud","menutupi barang dengan kain",
,"lamuk","tampak wujudnya yang tinggi",
,"lamun","kalau, melamun",
,"lamur","rabun",
,"lana","awet, lama",
,"lancah","laba-laba",
,"lanca-linci","tidak teguh megang janji",
,"lancar","lancar",
,"lanceuk","kakak",
,"lancingan","celana",
,"lancong","pergi tak tentu arah tujuan",
,"landep","mengigit",
,"landes","dekat",
,"landeuh","bawah",
,"landi","alias",
,"landong","obat",
,"landung","panjang kebawah",
,"langen","kesukaan, hobi",
,"langeu","duduk termenung",
,"langgeng","abadi",
,"langgeor","lemah gemulai",
,"langit","langit",
,"langkarak","berbaring terlentang",
,"langkonyang","tinggi ramping",
,"langkung","lebih",
,"langlang","meronda",
,"langlayeuseun","kehabisan tenaga",
,"langsit","kurus",
,"langsu","melebihi batas",
,"langsud","tiarap sambil maju, merayap",
,"langsung","langsung",
,"lanjang","gadis, remaja putri",
,"lantaran","sebab, karena",
,"lantas","panjang -panjangruasnya",
,"lantip","tertib, jauh kedepan",
,"lantis","rata terkena barang cair",
,"lantung","jalan-jalan santai di pekarangan",
,"lantur","bepergian tak punya pekerjaan",
,"lanyap","perilaku dan ucapannya halus tapi menghina",
,"lapat-lapat","samar-samar karena jauh",
,"lapur","hilang tak bisa dimiliki lagi",
,"laput","masuk ke dalam air sekujur badan",
,"lar","lewat",
,"larap","memakai, menerapkan",
,"laratan","hasil penyelidikan",
,"larbek",,
,"larung",,
,"lastari",,
,"lasut ","luput, gagal, tidak mengenai sasaran ",
,"lauk","ikan",
,"laun ","pelan, lambat, perlahan ",
,"laut","laut",
,"lawang ","gerbang, pintu ",
,"lawas","lalu, silam",
,"lawe",,
,"lawung",,
,"layad","tengok (orang sakit/meninggal)",
,"layan","layan",
,"layeut","kompak, selalu bersama",
,"layon","mayat",
,"layung ","semburat matahari terbenam ",
,"leah",,
,"leb",,
,"lebah","sebelah",
,"lebak","tempat yang lebih rendah",
,"lebar","sayang",
,"lebaran","lebaran",
,"lebeng","lama tidak ada kabar",
,"leber","terlalu penuh hingga tumpah",
,"lebet","masuk",
,"lebok","makan",
,"lebu","abu",
,"lebuh","tenggelam (perahu)",
,"lebur","rusak/hancur",
,"lecek","keruh/kotor sekali (air, pakaian)",
,"leceng","lari sangat cepat dan lurus",
,"ledig","senang melantur",
,"ledis","habis sama sekali",
,"ledot","meleset, sliding-tackle",
,"ledrek","sangat kotor",
,"ledug","penuh bekas kaki orang/binatang",
,"leeh","leleh",
,"lega","luas",
,"legeg","banyak tingkah, sok jagoan",
,"legleg","telan",
,"leguk",,
,"lehleh","kepala terkulai karena sakit parah",
,"leho ","ingus ",
,"lejar",,
,"lejeg",,
,"lejo",,
,"lekasan","selesai, tamat",
,"leke",,
,"leket",,
,"leketey",,
,"lekik",,
,"leklek",,
,"lekoh",,
,"lel",,
,"leleb",,
,"leled","terdesak kepinggir",
,"leleda","lamban, perlahan-lahan",
,"lelengkahan","langkah-langkah",
,"lelep",,
,"lelepen","cincin",
,"leler","sudah berkurang (amarah,angin)",
,"lelesaheun","gonta-ganti istri",
,"leleson",,
,"lelewa","tingkah laku anak-anak yang lucu",
,"lelewe","memperolok-olok",
,"lelewek",,
,"lelewodeh","gegabah, sembarangan",
,"lemah","tanah, bumi",
,"lembak",,
,"lembereh",,
,"lembet","kecil sekali",
,"lembok",,
,"lembon",,
,"lembur","kampung",
,"lembut","kecil, halus",
,"lemek","ucap, sapa",
,"lemes","halus, lembut",
,"lemet","menghabiskan sisa makanan",
,"lemong","sudah tidak bergigi (kakek-kakek, nenek-nenek)",
,"lempar","rata (batu)",
,"lempay","tinggi ramping",
,"lempeng","lurus",
,"lemper","berkurang, agak mendingan",
,"lempes","jadi lemas/mengkerut",
,"lempoh","kehabisan tenaga karena lapar",
,"lempreh","berbaring tak berkutik/ bersuara karena lelah",
,"lempung","tanah liat",
,"lenang","gundul, bersih tidak kotor",
,"lencop","lancip",
,"lende","merapatkan kepala/badan kepada orang yang dicintai",
,"lendeng","pusing kepala",
,"lendo","subur (tanah)",
,"leng",,
,"lenger","nakal sekali",
,"lenggak","mendongak ke atas (kepala)",
,"lenggerek",,
,"lenggereng","tampan, tegap, perlente",
,"lenggik",,
,"lenggotan","pelupa",
,"lenggut","ngatuk kepala terantuk-antuk",
,"lenghoy","jalan perlahan karena capek",
,"lengis",,
,"lengkah","langkah",
,"lengkeh","ramping (pinggang)",
,"lengkep","lengkap",
,"lengkob","lembah",
,"lengkur","lama menanti yang janji akan datang",
,"lenglang","cerah, tidak ada pepohonan",
,"lengle","lamban, tidak gesit",
,"lengo","melihat-lihat ke luar/ke dalam",
,"lengoh","tangan hampa, bujangan",
,"lenjang","tingi ramping",
,"lentab","api menjilat barang yang terdekat",
,"lentong","aksen bicara",
,"lenyap","tidur sekejap",
,"lenyep","meresapi suatu persoalan",
,"leob","menyiramkan air mendidih pada sesuatu",
,"leok","meliuk , tidak tetap pendirian",
,"leong","hanyut ke hilir",
,"leor","melata(ular)",
,"leos","pergi diam-diam",
,"leot","nyetrika",
,"lep","menyelam",
,"lepas","mecat, lepas",
,"lepat","salah",
,"lepeh","dimuntahkan kembali",
,"lepet","kempes, kosong",
,"lepot","lepas",
,"lepus","sakit, tinggi ilmunya",
,"leres","benar",
,"leres","benar",
,"leresna","yang benar",
,"les","hilang/tidak ingat",
,"lesang","licin, halus permukaannya",
,"lesot","lepas",
,"letah","lidah",
,"letak","jilat",
,"leubeut","lebat(buah)",
,"leucir","mengkilap karena minyak",
,"leueur","licin, basi",
,"leueut","minum",
,"leuheung","mendingan",
,"leuir","terlambat, kasip, lama berbuahnya",
,"leuit","lumbung padi",
,"leukeun","tekun dan rajin",
,"leukleuk","sulit dan rumit",
,"leuleus","lemas, lentur",
,"leuleuy","lemah lembut, pelan",
,"leumpang","berjalan",
,"leumpeuh","layu karena digarang/dipanaskan di api",
,"leuncang","genangan air hujan/selokan",
,"leungeun","tangan",
,"leungeunnya","tangannya",
,"leungit","hilang",
,"leunjeur","bilangan untuk beda yang panjang",
,"leupas","lepas",
,"leupeut","lepat (makanan)",
,"leuseuh","lusuh",
,"leutak","lumpur",
,"leutik","kecil",
,"leuweung","hutan",
,"leuwi","lubuk",
,"leuwih","lebih, unggul",
,"leuya","sangat banyak",
,"lewang","ngeri, takut jatuh",
,"lewe","mau menangis",
,"leweh","nangis",
,"leyek","menginjak-nginjak",
,"leyur","hancur menyatu dengan air",
,"lian","lain/selain",
,"liang","lubang",
,"lianna","lainnya",
,"liar","pergi jauh dari rumah",
,"liat","alot, tidak mudah putus",
,"libur","tidak membayar",
,"licin","nyetrika",
,"lieuk","menoleh",
,"lieur","pusing",
,"lieus","memalingkan muka",
,"ligar","berjatuhan daun bunganya",
,"ligeuh","tuna karya/pengangguran",
,"liglag","terbuka tanpa penghalang",
,"liket","lekat, lengket",
,"likur","dua puluh satu",
,"lila","lama",
,"lilir","bangun sebentar terus tidur lagi",
,"limit","halus dan rata",
,"limpas","luber",
,"limpeu","lemah, lelah",
,"limpeuran","pelupa",
,"limpud","menutupi, membungkus",
,"lindeuk","jinak",
,"lindih","merebut (kedudukan, kehidupan, jabatan)",
,"linduk","bebas dari gangguan angin",
,"lindur","ngigau",
,"lingas","sukar ditangkap",
,"lingger","cara/metoda",
,"linggih","duduk, berdiam(tinggal)",
,"lingkung","mengelilingi",
,"linglap","pangling",
,"lingling","berjalan mengelilingi rumah/kampung",
,"lingsem","malu",
,"lingsig","berisi, tidak kurus",
,"lingsir","bergeser (matahari)",
,"lini","gempa bumi, lindu",
,"linjing","berjalan mundar-mandir sambil marah-marah",
,"lintrik","jalan kesana kemari tanpa tujuan",
,"lintuh","gemuk",
,"linu","ngilu, nyeri",
,"linyok","berbohong/menipu",
,"lipet","lipat",
,"lipur","pulih dari kesusahan/kesedihan",
,"liput","rata/nyambung kembali",
,"lir","seperti,laksana,bagaikan",
,"lirih","alon, pelan, tenang",
,"lirik","lirik, kerling",
,"liron","tukar",
,"lisah","minyak",
,"liud","kumpul/bergerombol",
,"liwar","bandel",
,"liwat","lewat, terlalu, sangat",
,"liwung","bingung/sedih hati karena putus cinta",
,"loba","banyak",
,"lobang","lubang",
,"locot","lepas",
,"lodro","kumal",
,"logak","lubang kecil (jalan)",
,"logor","longar, mudah masuk",
,"lohong","nakal, bengal",
,"loklok","menelan telur mentah",
,"lokot","belepotan",
,"lol","keluar sebentar",
,"lolong","buta",
,"lolongkrang","tempat kosong antara dua bangunan",
,"lolos","minggat, pergi diam-diam takut diketahui",
,"loma","akrab, intim",
,"lombang","lubang",
,"loncer","longgar",
,"longok","nengok, melayat",
,"longser","menangis sambil berguling-guling",
,"longsong","senang, lega",
,"lonjor","tidur terlentang meluruskan kaki",
,"lonyod","oval, bulat telur, lonjong",
,"lonyot","senang menggoda tapi menyenangkan",
,"loyog","sesuai dengan bakatnya",
,"loyor","gampang tergoda",
,"luang","pengalaman",
,"luareun","di luar",
,"luas","tega, bulat hati",
,"lubak-libuk","banyak, segala rupa ada",
,"lubang","ikan moa",
,"lubar","bubar, habis, hilang",
,"lucir","berminyak",
,"ludah","ludah",
,"ludang","menggali kembali yang telah dikubur",
,"ludes","tandas, habis sama sekali",
,"ludeung","berani",
,"luduh","mudah lepas",
,"luga","muntah",
,"lugas","menghunus pedang",
,"lugay","keluar/berhenti",
,"lugina","senang, tenang",
,"luhung","berbudi tinggi, mulia",
,"luhur","tinggi",
,"luhurna","luhurnya",
,"luis","rapih, bersih",
,"lukak","kurang ajar, tidak tahu adat",
,"lukut","lumut",
,"luli","terlupakan belum dikerjakan/diperiksa",
,"lulugu","pimpinan",
,"luluh","menginjak-nginjak",
,"lulumpatan","berlarian",
,"lulungu","belum segar benar karena baru bangun tidur",
,"lulus","rukun, lulus",
,"lumeho","seperti lendir",
,"lumpat","lari",
,"lumrah","biasa, umum",
,"lunas","impas, lunas",
,"luncat","loncat, lompat",
,"lung","melempar",
,"lungguh","pendiam, kalem",
,"lungkawing","curam, terjal",
,"lungsar","duduk/berbaring asmbil meluruskan kaki",
,"lungse","lemah lunglai",
,"lungsur","turun",
,"lunjak","berani melawan kepada yang lebih tua",
,"lunta","pergi jauh meninggalkan rumah",
,"luput","salah, tidak berhasil",
,"luuh","menyaksikan",
,"luut-leet","basah kuyup (keringat)",
,"luwes","bagus, serasi",
,"luyu","sesuai, sependapat, benar penerapannya",
,"mabal","melalui jalan pintas karena malu",
,"mabek","pengap",
,"mabra","terang benderang",
,"mabur","melarikan diri, kabur",
,"macakal","berdikari",
,"macangkrama","bercengkrama",
,"macem","macam",
,"maceuh","semakin menjadi",
,"madanan","menyamai",
,"madawa","jelek akibatnya",
,"madhab","mazhab, arah, mata angin",
,"madon","melacur",
,"maen","judi",
,"magah","katanya",
,"magol","mandek, terhalang",
,"mahabu","merajalela",
,"mahal","mahal",
,"mahar","maskawin",
,"maher","mahir, ahli",
,"mahi","cukup",
,"mahiwal","tidak umum, lain dari yang lain",
,"mahmah-mihmih","makan yang seperti aji mumpung (sangat lahap)",
,"majad","matang sekali(buah-buahan)",
,"majuna","majunya",
,"makar","makar",
,"makbul","dikabulkan",
,"make","menggunakan",
,"makena","memakainya",
,"makmak-mekmek","makan sangat lahap",
,"makplak","luas serta rata",
,"maksad","maksud",
,"maksud","niat, tujuan yang diinginkan",
,"maksudna","maksudnya",
,"makuta","mahkota",
,"mala","bahaya, kejelekan",
,"malah","bahkan",
,"malahan","malah",
,"malahmandar","mudah-mudahan",
,"malang","leluasa, malang melintang",
,"malangmang-mulungmung","merasa asing di tempat baru",
,"malar","agar, supaya",
,"malaur","padahal",
,"malawading","benci, tidak umum",
,"malaweung","pikiran tidak menentu",
,"maliding","pilih kasih, tidak adil",
,"malige","mahligai",
,"malih","bahkan",
,"malik","berbalik",
,"malindes","menjadi bumerang",
,"malulu","melulu, kayak, mirip",
,"mamang","paman",
,"mamanis","pemanis",
,"man","menyuruh jalan lebih dulu",
,"manah","pikir/hati",
,"mancanagara","mancanegara",
,"mancangah","berani melawan (istri pada suami)",
,"mancegkeun","menancapkan",
,"mancrit","kecil tapi bagus bentuknya",
,"mancung","mancung",
,"mandah","monyet yang paling besar dan kuat",
,"mandeg","mandek, ragu-ragu",
,"mandiri","sendiri, mandiri",
,"mando","duduk sambil membungkuk tanda hormat",
,"maneh","kamu, engkau, diri sendiri",
,"manehna","ia,dia",
,"maneuh","tetap, tidak berubah",
,"mangandeuh","parasit, benalu",
,"mange atau minge",,
,"mangga","baiklah, mau, mengajak, menyuruh",
,"manggar","tangkai buah (kelapa, salak)",
,"manggu","manggis",
,"manggulang-manggaling","gagah perkasa",
,"manggut","mengangguk tanda hormat",
,"mangka","awas, akibat, hati-hati",
,"mangke","nanti",
,"mangkir","bolos",
,"mangkuk","ada, menunggu",
,"mangkukna","kemarin dulu",
,"mangle","bunga rampai, antologi",
,"mangmang","ragu-ragu",
,"mangpaatna","manfaatnya",
,"mangpret","kabur, lari tak tertangkap",
,"mangprung","kabur, lari tak terkendali",
,"mangrupakeun","merupakan",
,"mangsa","waktu, musim, masa, diincar binatang buas",
,"mangsar-mingsir","agak takut",
,"mangsi","tinta, dawat",
,"mani","sampai, hingga, air mani",
,"manik","manik-manik",
,"manis","menarik,manis, elok, cantik",
,"manjang","memanjang",
,"manjing","terus-menerus, konsisten",
,"mantangul","memberontak, tidak menurut petuah",
,"manten","dia, mantan, pekerjaan yang tidak terduga sebelumn",
,"mantog","pulang",
,"mantra","jampi",
,"mantu","menantu",
,"mantuan","menolong",
,"manuk","burung",
,"manusa","manusia",
,"manyang-munyung","tidak ada yang tahu asal usulnya",
,"manyun","cemberut",
,"maos","membaca",
,"maot","mati, maninggal",
,"mapag","menyambut",
,"mapalangan","menghalang-halangi",
,"maradukeun","mengadu domba",
,"marahmay","ceria",
,"marakayangan","arwah gentayangan",
,"marakbak","kelihatan dari jauh banyak sinar lampu",
,"marandi","pada mandi",
,"maranehna","mereka itu",
,"marema","saat yang tepat dagang/uasha laku",
,"marengan","menemani",
,"marentah","memerintah",
,"marga","jalan, sebab, karena",
,"margi","sebab, karena",
,"marojengja","dilematis, tidak tenang pikiran",
,"martabat","martabat",
,"maru","perempuan lain yang menjadi istri",
,"marudah","lincah, sering bergerak waktu tidur",
,"maruk","disangkanya, dikiranya",
,"marungkawut","pusing, ruwet pikiran",
,"marus","darah kerbau beku yang dimasak",
,"masakat","malarat",
,"masalah","soal, ihwal, dosa",
,"masarakat","masyarakat",
,"masarakatna","masyarakatnya",
,"masarkeunnana","memasarkannya",
,"masihan","memberi",
,"masing","walaupun, sanggup, harus",
,"masjid","mesjid",
,"masket","lengket",
,"masrakat","masyarakat",
,"masrik","tempat munculnya matahari",
,"mastaka","kepala",
,"mastaka","kepala",
,"mata","mata",
,"matak","sebab,akibat",
,"materil","materiil",
,"mati-mati","biarpun, walaupun, sekalipun",
,"maung","harimau",
,"mawat","pembawa, watak",
,"mawi","matak",
,"mayak","berserakan",
,"mayakpak","tampak dari kejauhan serta tinggi",
,"mayar","membayar",
,"mayat","menanjak/menurun sedikit demi sedikit",
,"mayeng","tetap",
,"mayit","mayat",
,"mayor","makan-makan dan bercengkrama",
,"meakeun","menghabiskan",
,"mebes","menancap",
,"medah-meduh","banyak rejeki",
,"medar","menerbitkan",
,"meded","mendung",
,"meded","mendung",
,"medeng","miring",
,"medengkel","jengkel, dongkol",
,"medit","sangat kikir",
,"medok","kental",
,"medu","tumpul, busung",
,"megah","mulia",
,"meh","hampir, nyaris, sudah dekat",
,"mehong","kotoran hitam di panci karena asap",
,"mejen","disentri, susah buang air besar",
,"mekar","mekar",
,"melak","menanam",
,"mela-melu","perbedaannya besar sekali",
,"melang","kuatir",
,"meleber","wanginya menyebar",
,"meledos","bau busuk/sampah kemana-mana",
,"melempem","suran cahayanya (lampu)",
,"melencing","malas, sering tak masuk kerja",
,"meleng","lengah",
,"melengek","terkejut, kaget",
,"melenghir","tercium ke tempat jauh baunya",
,"melengkung","melengkung",
,"melengmeng","terlihat samar-samar, tidak jelas",
,"melenguk","termenung karena susah",
,"meles","hitam sekali",
,"meletek","mulai terbit matahari",
,"melid","malas, tak mau kerja",
,"melong","memandang",
,"memeh","sebelum",
,"memen","menurus, memberi makan",
,"memper","hampir serupa, mirip",
,"mena","sesuka hati, seenaknya",
,"menak","ningrat, bangsawan",
,"mencedel","jelek kerjanya",
,"mencenges","kecil tapi menarik, bunga cabai",
,"mencong","beda, tidak sesuai",
,"mencrang","cerah, cantik, bersih",
,"mendak","menemukan",
,"mendeko","bersila sambil membungkuk",
,"mendelik","menyalang, membelalak, melotot",
,"mendeyang","perut besar (hamil)",
,"mending","lebih baik",
,"mendung","mendung",
,"menekung","memusatkan pikiran kepada Tuhan Yang Maha Esa",
,"menel","sedikit, kecil sekali",
,"menggok","bergeser",
,"mengi","asma",
,"mengkel","mengkal",
,"mengpar","menyimpang tiba-tiba dari jalan yang ditempuh",
,"mengpeng","lari/maju kencang sekali",
,"mental","mempan, mantul",
,"mentegeg","sangat dongkol",
,"menter","mulai timbul rasa birahi",
,"mentereng","mewah",
,"mentud","tumpul",
,"menyan","kemenyan",
,"meper","mengusapkan beda kotor pada batu, kayu agar lepas",
,"meral","membesar, memanjang",
,"merang","gatal-gatal",
,"merecet","ketat (baju, celana)",
,"meredel","keluar banyak satu persatu (anak)",
,"meredong","gelap gulita",
,"merekis","penuh isinya (saku)",
,"merelek","berkali-kali menguap",
,"merenah","nyaman",
,"merenyeng","memaksa ingin pergi karena marah",
,"merewedeng","keras kepala",
,"meri","itik, bebek",
,"mertua","mertua",
,"merul","terus berdatangan, banyak orang datang",
,"mesem","tersenyum",
,"mesum","muram",
,"metet","penuh sesak",
,"metung","sepiring penuh",
,"meueus","mendingan, ada lebihnya dari yang lain",
,"meugeus","sudah (menyuruh berhenti melakukan sesuatu)",
,"meuhpeuh","sangat lebat (buah)",
,"meujeuhna","cukup, pantas, pas sekali",
,"meuli","membeli",
,"meumeut","kekasih, yang sangat dicinta",
,"meunang","memenangkan",
,"meungpeung","mumpung",
,"meureun","bisa jadi, rupanya, kiranya",
,"meuweuh","sering terjadi",
,"mewek","nangis",
,"miang-miang","tidak terlalu hitam (kulit orang)",
,"miara","memelihara",
,"micekil",,
,"midangdam","berbicara sambil menangis",
,"migawena","mengerjakannya",
,"mihak","memihak",
,"miis","bocor kecil, rembes",
,"mijah","tidak mau diam (gerak)",
,"mikawanoh","mengenalkan",
,"mikir","berpikir",
,"mikung","belum dewasa, belum bersayap",
,"milampah","berperilaku",
,"milih","milih",
,"milih-milih","memilih-milih",
,"milikna","milikna",
,"milu","mengikuti",
,"mimiti","mulai, awal",
,"minangka","sebagai, secara",
,"minantu","menantu",
,"mincrak","lincah, tidak mau diam kalau bermain",
,"minculak","tidak umum, lain dari yang lain",
,"mindel","diam",
,"mindeng","sering, kerap",
,"mindo","kedua kali",
,"minggat","kabur, pergi diam-diam",
,"mingkeun","biarkan, jangan diganggu",
,"mingkin","makin",
,"mintul","tumpul",
,"minuhan","memenuhi",
,"minyak","minyak",
,"mios","pergi",
,"mipit","memetik (buah,daun,bunga)",
,"mirah","murah",
,"miris","agak takut",
,"misan","sepupu",
,"misapir",,
,"mitembeyan","memulai",
,"mitoha","mertua",
,"mitra","sahabat, kawan",
,"miuk","sekongkol",
,"moal","tidak akan",
,"modal","modal",
,"model","contoh, seperti, aneh",
,"mogok","mogok, terlalu capek jalan hingga tidak bisa meneruskan perjalanan",
,"moha","tidak tahu balas budi",
,"mohal","mustahil, tidak mungkin",
,"mojang","gadis, perawan",
,"mokaha","lumayan, tidak penting",
,"mokprok","bersamaan waktunya",
,"molelel","pahit sekali",
,"molohok","bengong, terheran",
,"molongpong","tak ada halangan (jalan)",
,"molopos","nyelusup, melarikan diri",
,"molor","tidur",
,"momore","meremehkan",
,"momot","bobot",
,"moncorong","sorot",
,"mones","bagus, aneh, terampil",
,"mongkleng","sangat gelap",
,"mongplo","sintal, montok",
,"montong","jangan",
,"monyah","menghamburkan (uang,barang) tanpa perhitungan",
,"mopo","berhenti ditengah jalan karena cape/lelah",
,"moreret","panas menyengat",
,"moril","moril",
,"morontod","cepat besar sehat mulus",
,"motah","lincah, tak mau diam (tidur)",
,"motekar","berusaha memperbaiki nasib/nambah ilmu pengetahuan",
,"moyeg","bergerak-gerak, gelisah, tak mau diam",
,"moyodok","berprestasi buruk, jadi juru kunci",
,"muat","diisi, menarik, terbawa",
,"mubah","mubazir, sia-sia",
,"mubus","sembunyi/ diam di tempat yang aman",
,"mudal","luber, melimpah",
,"muga","semoga",
,"mugen","menolak, membangkang",
,"mugia","semoga",
,"muhlis atau muklis",,
,"muka","membuka",
,"mukim","mengembara (di mekkah)",
,"mukti","hidup senang, kaya",
,"mula","sejak, mulai, masih",
,"mulangkeun","dikembalikan",
,"mulek","tidak keluar ruangan (asap)",
,"mulih","pulang",
,"mulintirkeun","memelintir",
,"muluk","terbang amat tinggi",
,"muluntu","habis sama sekali kekayaannya",
,"mulus","mulus, selamat tiada aral melintang",
,"mumbul","muncul/timbul di permukaan air, terbang tinggi",
,"mumul","tidak mau, malas",
,"mumule","menurus dengan sungguh-sungguh",
,"mumuluk","sarapan",
,"mumunggang","bagian gunung yang seperti punggung",
,"munajat","meminta pertolongan kepada Allah",
,"munapek","munafik",
,"munasabah","pantas, layak, dapat dimengerti",
,"muncang","kemiri (mumuncangan=matakaki)",
,"muncereng","menatap tajam serta geram",
,"muncrat","memercik",
,"muncrut","diare (mencret)",
,"mundel","penting",
,"munding","kerbau",
,"munggah","memulai puasa bulan Ramadhan",
,"munggaran","pertama, mengawali, awal",
,"mungkuk","besar pundak",
,"munjukul","menonojl (bisul)",
,"muntab","berkobar (api)",
,"muntah","luntur",
,"muntruk","tidak datang-datang",
,"murah","murah, dermawan",
,"murangkalih","anak-anak",
,"murang-maring","marah-marah pada siapa saja yang ada",
,"muriang","meriang, demam",
,"murka","tidak umum, ketamakan",
,"murni","asli, suci",
,"murub","menyala",
,"murukusunu","bermuka masam, cemberut",
,"muruy","bercermin pada permukaan air",
,"muskil","sulit, rumit",
,"mustika","mustika",
